,country
0,Albania
1,Antigua and Barbuda
2,Argentina
3,Armenia
4,Aruba
5,Australia
6,Austria
7,Azerbaijan
8,Bahamas
9,Bahrain
10,Barbados
11,Belarus
12,Belgium
13,Belize
14,Bosnia and Herzegovina
15,Brazil
16,Bulgaria
17,Cabo Verde
18,Canada
19,Chile
20,Colombia
21,Costa Rica
22,Croatia
23,Cuba
24,Cyprus
25,Czech Republic
26,Denmark
27,Dominica
28,Ecuador
29,El Salvador
30,Estonia
31,Fiji
32,Finland
33,France
34,Georgia
35,Germany
36,Greece
37,Grenada
38,Guatemala
39,Guyana
40,Hungary
41,Iceland
42,Ireland
43,Israel
44,Italy
45,Jamaica
46,Japan
47,Kazakhstan
48,Kiribati
49,Kuwait
50,Kyrgyzstan
51,Latvia
52,Lithuania
53,Luxembourg
54,Macau
55,Maldives
56,Malta
57,Mauritius
58,Mexico
59,Mongolia
60,Montenegro
61,Netherlands
62,New Zealand
63,Nicaragua
64,Norway
65,Oman
66,Panama
67,Paraguay
68,Philippines
69,Poland
70,Portugal
71,Puerto Rico
72,Qatar
73,Republic of Korea
74,Romania
75,Russian Federation
76,Saint Kitts and Nevis
77,Saint Lucia
78,Saint Vincent and Grenadines
79,San Marino
80,Serbia
81,Seychelles
82,Singapore
83,Slovakia
84,Slovenia
85,South Africa
86,Spain
87,Sri Lanka
88,Suriname
89,Sweden
90,Switzerland
91,Thailand
92,Trinidad and Tobago
93,Turkey
94,Turkmenistan
95,Ukraine
96,United Arab Emirates
97,United Kingdom
98,United States
99,Uruguay
100,Uzbekistan
