,year,pop,suicide_no,suicide_per_100k
0,1985,1008600086,89009,8.825004204887605
1,1986,1029909613,87541,8.499872114505644
2,1987,1095034526,101102,9.232768246067156
3,1988,1057823424,94701,8.952439306165337
4,1989,1228316535,120481,9.808628034141053
5,1990,1466620100,131333,8.954807042396324
6,1991,1489988384,159158,10.681828241689164
7,1992,1574078447,160538,10.198856372499458
8,1993,1530416654,166539,10.881938559981196
9,1994,1548749372,199798,12.900602486894826
10,1995,1594066503,183723,11.525428810795354
11,1996,1662267662,175193,10.539397715841506
12,1997,1702991519,179995,10.569342124832977
13,1998,1726115851,188808,10.938315634528056
14,1999,1776363155,165543,9.319209280717152
15,2000,1799227908,188305,10.46587812265082
16,2001,1755565489,199235,11.348764899308179
17,2002,1822164575,175986,9.658073832326588
18,2003,1840460233,196967,10.70205139281594
19,2004,1745246613,192027,11.002857623079082
20,2005,1738290181,163871,9.427137182914342
21,2006,1843086794,183250,9.942559438684796
22,2007,1859664061,169690,9.124766325201357
23,2008,1860620851,192607,10.351759730978099
24,2009,1976741229,200785,10.157374018124454
25,2010,1997345441,179329,8.978366802200041
26,2011,1994069867,197844,9.921618257922354
27,2012,1912812088,180957,9.460260165398955
28,2013,1890161710,172484,9.125356792885198
29,2014,1912057309,162234,8.484787523698643
30,2015,1774657932,157317,8.864637920543213
31,2016,133225948,13946,10.46793076676024
