age,gen,suicide_no
05-14 years,Generation X,750
05-14 years,Generation Z,24450
05-14 years,Millenials,20907
15-24 years,Generation X,187110
15-24 years,Generation Z,99340
15-24 years,Millenials,355670
25-34 years,Boomers,93915
25-34 years,Generation X,503393
25-34 years,Millenials,282245
35-54 years,Boomers,750861
35-54 years,Generation X,1024208
35-54 years,Millenials,5127
55-74 years,Boomers,682045
55-74 years,Silent,563381
75+ years,G. I. Generation,289294
75+ years,Silent,247600
