,gen,age,suicide_no
4,Generation X,05-14 years,750
13,Millenials,35-54 years,5127
10,Millenials,05-14 years,20907
8,Generation Z,05-14 years,24450
0,Boomers,25-34 years,93915
9,Generation Z,15-24 years,99340
5,Generation X,15-24 years,187110
15,Silent,75+ years,247600
12,Millenials,25-34 years,282245
3,G. I. Generation,75+ years,289294
11,Millenials,15-24 years,355670
6,Generation X,25-34 years,503393
14,Silent,55-74 years,563381
2,Boomers,55-74 years,682045
1,Boomers,35-54 years,750861
7,Generation X,35-54 years,1024208
