,country,year,sex,age,suicide_no,pop,HDI,gdp_for_year
0,Albania,1987,male,15-24 years,21,312900,,2156624900
1,Albania,1987,male,35-54 years,16,308000,,2156624900
2,Albania,1987,female,15-24 years,14,289700,,2156624900
3,Albania,1987,male,75+ years,1,21800,,2156624900
4,Albania,1987,male,25-34 years,9,274300,,2156624900
5,Albania,1987,female,75+ years,1,35600,,2156624900
6,Albania,1987,female,35-54 years,6,278800,,2156624900
7,Albania,1987,female,25-34 years,4,257200,,2156624900
8,Albania,1987,male,55-74 years,1,137500,,2156624900
9,Albania,1987,female, 5-14 years,0,311000,,2156624900
10,Albania,1987,female,55-74 years,0,144600,,2156624900
11,Albania,1987,male, 5-14 years,0,338200,,2156624900
12,Albania,1988,female,75+ years,2,36400,,2126000000
13,Albania,1988,male,15-24 years,17,319200,,2126000000
14,Albania,1988,male,75+ years,1,22300,,2126000000
15,Albania,1988,male,35-54 years,14,314100,,2126000000
16,Albania,1988,male,55-74 years,4,140200,,2126000000
17,Albania,1988,female,15-24 years,8,295600,,2126000000
18,Albania,1988,female,55-74 years,3,147500,,2126000000
19,Albania,1988,female,25-34 years,5,262400,,2126000000
20,Albania,1988,male,25-34 years,5,279900,,2126000000
21,Albania,1988,female,35-54 years,4,284500,,2126000000
22,Albania,1988,female, 5-14 years,0,317200,,2126000000
23,Albania,1988,male, 5-14 years,0,345000,,2126000000
24,Albania,1989,male,75+ years,2,22500,,2335124988
25,Albania,1989,male,25-34 years,18,283600,,2335124988
26,Albania,1989,male,35-54 years,15,318400,,2335124988
27,Albania,1989,male,55-74 years,6,142100,,2335124988
28,Albania,1989,male,15-24 years,12,323500,,2335124988
29,Albania,1989,female,35-54 years,7,288600,,2335124988
30,Albania,1989,female,15-24 years,5,299900,,2335124988
31,Albania,1989,female,25-34 years,2,266300,,2335124988
32,Albania,1989,female,55-74 years,1,149600,,2335124988
33,Albania,1989,female, 5-14 years,0,321900,,2335124988
34,Albania,1989,female,75+ years,0,37000,,2335124988
35,Albania,1989,male, 5-14 years,0,349700,,2335124988
36,Albania,1992,male,35-54 years,12,343800,,709452584
37,Albania,1992,male,15-24 years,9,263700,,709452584
38,Albania,1992,male,55-74 years,5,159500,,709452584
39,Albania,1992,male,25-34 years,7,245500,,709452584
40,Albania,1992,female,15-24 years,7,292400,,709452584
41,Albania,1992,female,25-34 years,4,267400,,709452584
42,Albania,1992,female,35-54 years,2,323100,,709452584
43,Albania,1992,female,55-74 years,1,164900,,709452584
44,Albania,1992,female, 5-14 years,0,336700,,709452584
45,Albania,1992,female,75+ years,0,38700,,709452584
46,Albania,1992,male, 5-14 years,0,362900,,709452584
47,Albania,1992,male,75+ years,0,23900,,709452584
48,Albania,1993,male,15-24 years,18,243300,,1228071038
49,Albania,1993,male,55-74 years,7,165000,,1228071038
50,Albania,1993,male,75+ years,1,24200,,1228071038
51,Albania,1993,male,25-34 years,9,230100,,1228071038
52,Albania,1993,female,15-24 years,1,285300,,1228071038
53,Albania,1993,male,35-54 years,1,350300,,1228071038
54,Albania,1993,female,25-34 years,7,261800,,1228071038
55,Albania,1993,female,35-54 years,7,331200,,1228071038
56,Albania,1993,female,55-74 years,2,169500,,1228071038
57,Albania,1993,female, 5-14 years,1,340300,,1228071038
58,Albania,1993,male, 5-14 years,1,367000,,1228071038
59,Albania,1993,female,75+ years,0,39300,,1228071038
60,Albania,1994,male,75+ years,2,24600,,1985673798
61,Albania,1994,male,55-74 years,11,171400,,1985673798
62,Albania,1994,female,75+ years,2,39900,,1985673798
63,Albania,1994,male,25-34 years,6,231400,,1985673798
64,Albania,1994,male,35-54 years,9,362800,,1985673798
65,Albania,1994,male,15-24 years,6,242200,,1985673798
66,Albania,1994,female,15-24 years,6,282600,,1985673798
67,Albania,1994,female,25-34 years,4,261100,,1985673798
68,Albania,1994,female,35-54 years,2,342500,,1985673798
69,Albania,1994,female,55-74 years,1,174600,,1985673798
70,Albania,1994,male, 5-14 years,1,371800,,1985673798
71,Albania,1994,female, 5-14 years,0,344400,,1985673798
72,Albania,1995,male,25-34 years,13,232900,0.619,2424499009
73,Albania,1995,male,55-74 years,9,178000,0.619,2424499009
74,Albania,1995,female,75+ years,2,40800,0.619,2424499009
75,Albania,1995,female,15-24 years,13,283500,0.619,2424499009
76,Albania,1995,male,15-24 years,11,241200,0.619,2424499009
77,Albania,1995,male,75+ years,1,25100,0.619,2424499009
78,Albania,1995,male,35-54 years,14,375900,0.619,2424499009
79,Albania,1995,female,25-34 years,7,264000,0.619,2424499009
80,Albania,1995,female,35-54 years,8,356400,0.619,2424499009
81,Albania,1995,male, 5-14 years,6,376500,0.619,2424499009
82,Albania,1995,female,55-74 years,2,180400,0.619,2424499009
83,Albania,1995,female, 5-14 years,2,348700,0.619,2424499009
84,Albania,1996,male,75+ years,2,25400,,3314898292
85,Albania,1996,male,15-24 years,17,243600,,3314898292
86,Albania,1996,male,25-34 years,14,235300,,3314898292
87,Albania,1996,female,15-24 years,16,287700,,3314898292
88,Albania,1996,female,75+ years,2,41200,,3314898292
89,Albania,1996,female,25-34 years,1,267900,,3314898292
90,Albania,1996,male,35-54 years,12,379600,,3314898292
91,Albania,1996,female,35-54 years,9,362000,,3314898292
