,country,year,sex,age,suicide_no,pop,HDI,gdp_for_year,suicide_person,generation
0,Albania,1987,male,15-24 years,21,312900,,2156624900,6.7114093959731544,Generation X
1,Albania,1987,male,35-54 years,16,308000,,2156624900,5.194805194805195,Boomers
2,Albania,1987,female,15-24 years,14,289700,,2156624900,4.8325854332067655,Generation X
3,Albania,1987,male,75+ years,1,21800,,2156624900,4.587155963302752,G. I. Generation
4,Albania,1987,male,25-34 years,9,274300,,2156624900,3.2810791104629966,Boomers
5,Albania,1987,female,75+ years,1,35600,,2156624900,2.808988764044944,G. I. Generation
6,Albania,1987,female,35-54 years,6,278800,,2156624900,2.152080344332855,Boomers
7,Albania,1987,female,25-34 years,4,257200,,2156624900,1.5552099533437014,Boomers
8,Albania,1987,male,55-74 years,1,137500,,2156624900,0.7272727272727273,Silent
9,Albania,1987,female,05-14 years,0,311000,,2156624900,0.0,Millenials
10,Albania,1987,female,55-74 years,0,144600,,2156624900,0.0,Silent
11,Albania,1987,male,05-14 years,0,338200,,2156624900,0.0,Millenials
12,Albania,1988,female,75+ years,2,36400,,2126000000,5.4945054945054945,G. I. Generation
13,Albania,1988,male,15-24 years,17,319200,,2126000000,5.325814536340852,Generation X
14,Albania,1988,male,75+ years,1,22300,,2126000000,4.484304932735426,G. I. Generation
15,Albania,1988,male,35-54 years,14,314100,,2126000000,4.457179242279529,Boomers
16,Albania,1988,male,55-74 years,4,140200,,2126000000,2.8530670470756063,Silent
17,Albania,1988,female,15-24 years,8,295600,,2126000000,2.706359945872801,Generation X
18,Albania,1988,female,55-74 years,3,147500,,2126000000,2.0338983050847457,Silent
19,Albania,1988,female,25-34 years,5,262400,,2126000000,1.9054878048780488,Boomers
20,Albania,1988,male,25-34 years,5,279900,,2126000000,1.7863522686673812,Boomers
21,Albania,1988,female,35-54 years,4,284500,,2126000000,1.40597539543058,Boomers
22,Albania,1988,female,05-14 years,0,317200,,2126000000,0.0,Millenials
23,Albania,1988,male,05-14 years,0,345000,,2126000000,0.0,Millenials
24,Albania,1989,male,75+ years,2,22500,,2335124988,8.88888888888889,G. I. Generation
25,Albania,1989,male,25-34 years,18,283600,,2335124988,6.346967559943582,Boomers
26,Albania,1989,male,35-54 years,15,318400,,2335124988,4.711055276381909,Boomers
27,Albania,1989,male,55-74 years,6,142100,,2335124988,4.2223786066150595,Silent
