,country,suicide_no,population,"gdp_for_year, $","gdp_per_capita_per_year,$"
0,Albania,133,2818839,4435078648,1573.3706848812578
1,Antigua and Barbuda,0,77588,814615333,10499.243865030674
2,Argentina,3162,34407507,97724004252,2840.1942707444628
3,Armenia,74,3014844,2376335048,788.2116116124084
4,Aruba,9,88284,1941094972,21986.939558696933
5,Australia,2139,18370058,394486709920,21474.44008723326
6,Austria,1364,7683162,213377771504,27772.129691395286
7,Azerbaijan,92,7605700,6235795104,819.8844424576305
8,Bahamas,3,282555,8881160000,31431.615083788998
9,Bahrain,25,661010,9632155053,14571.874938351915
10,Barbados,0,253353,3169600000,12510.607729136816
11,Belarus,2733,9469234,14594249023,1541.2280468515194
12,Belgium,1986,9758570,258860436665,26526.47228692319
13,Belize,14,224136,932551850,4160.651791769283
14,Brazil,7157,162761414,507962487700,3120.902400737315
15,Bulgaria,1218,7544410,16276456428,2157.4193910458207
16,Canada,3065,29642114,757950678647,25570.061522838754
17,Chile,1513,14332840,69736811435,4865.5264019552305
18,Colombia,1434,37478276,97933391976,2613.0708887463234
19,Costa Rica,275,3680372,16504795453,4484.54543535273
20,Croatia,874,4217300,26878499206,6373.390369667797
21,Cuba,958,10479415,33590500000,3205.3793079098405
22,Czech Republic,1129,9752463,81910771994,8398.983107549344
23,Denmark,526,5041222,178635160297,35434.89263059631
24,Ecuador,487,11548770,28548945000,2472.0333853735074
25,El Salvador,436,5230458,12664190300,2421.2392681482197
26,Estonia,371,1316690,7322069511,5560.966902611853
27,Fiji,42,723187,1842691481,2548.01521736425
28,Finland,888,4915614,139552983249,28389.735900540603
29,France,9635,55935517,1494286655374,26714.451488380808
30,Germany,5416,78633771,2079136081310,26440.752552869428
31,Greece,323,10482045,153830947017,14675.661764188191
32,Grenada,0,103668,540336926,5212.186267700737
33,Guatemala,159,10277166,20776669467,2021.6341223835443
34,Guyana,176,662839,722460886,1089.9492727494912
35,Hungary,2839,9680164,67716887203,6995.42768108061
36,Iceland,30,266455,9207689916,34556.26622131317
37,Ireland,260,3639573,127945379258,35153.953295620115
38,Israel,301,5895508,121069378150,20535.86869019599
39,Italy,3727,54526842,1266510634293,23227.28747601044
40,Jamaica,2,2415717,9694169757,4012.957543040017
41,Japan,19815,120189000,4115116279070,34238.7096911531
42,Kazakhstan,4078,13777476,24636593223,1788.1789975899794
43,Kuwait,45,2158603,38137545245,17667.69769383254
44,Kyrgyzstan,216,4473163,1605640633,358.94972595454266
45,Latvia,544,2214484,9546441564,4310.910155142236
46,Lithuania,1371,3274488,14278357284,4360.485451160609
47,Luxembourg,76,418106,23616328816,56484.070584971276
48,Maldives,3,263747,897031250,3401.105036265815
49,Malta,19,374456,4689832690,12524.389220629393
50,Mauritius,131,1079755,4767303154,4415.171176794735
51,Mexico,3493,92394316,772106378935,8356.643702357189
52,Montenegro,0,578668,1284685051,2220.0727377356275
53,Netherlands,1417,15130318,465368906456,30757.377766680118
54,New Zealand,440,3659190,66627729311,18208.327337744147
55,Norway,458,4243689,195418347153,46049.16787092551
56,Panama,160,2800046,12994310400,4640.748901982324
57,Paraguay,168,4809921,6325151760,1315.0219639782026
58,Philippines,1283,70256443,81357605642,1158.009175642439
59,Poland,4764,36347498,198680637255,5466.143426295807
60,Portugal,886,9859832,134228697534,13613.690125146148
61,Puerto Rico,158,3523951,71623500000,20324.771825714943
62,Republic of Korea,7378,45110041,609020054512,13500.764818901405
63,Romania,3067,20700580,46174557556,2230.5924547041677
64,Russian Federation,24640,136590900,345110438692,2526.59905375834
65,Saint Lucia,12,145168,748346606,5155.038341783313
66,Saint Vincent and Grenadines,7,97799,461883444,4722.782891440608
67,Serbia,807,7138113,16116843146,2257.8576643435035
68,Seychelles,5,76904,697518248,9069.986580672006
69,Singapore,285,3165200,91941192896,29047.51450018956
70,Slovakia,708,5107584,35083608131,6868.924354645954
71,Slovenia,540,1906124,23563576758,12362.037704787306
72,South Africa,236,41803868,115748110113,2768.8373265603077
73,Spain,3282,39340611,705145868624,17924.120919830148
74,Sri Lanka,3644,17395955,16536535647,950.5965982896598
75,Suriname,60,430176,1078402128,2506.8858513724617
76,Sweden,910,8465828,263926220333,31175.476318795987
77,Switzerland,1230,6942010,301416810214,43419.24172019343
78,Thailand,4002,58263389,134300851255,2305.0641845602217
79,Trinidad and Tobago,156,1188800,9008273721,7577.619213492598
80,Turkmenistan,236,4143692,4461978499,1076.812296618571
81,Ukraine,11042,46060017,42392896031,920.3838555031363
82,United Kingdom,2668,55908944,1768408273381,31630.14979107815
83,United States,14554,268759559,10977514000000,40845.11092682661
84,Uruguay,630,3065257,13606494599,4438.940878040569
85,Uzbekistan,1387,22632256,9687951055,428.05944997264083
