country,suicide_no,suicide_rank
Dominica,0,1.5
Saint Kitts and Nevis,0,1.5
San Marino,4,3.0
Antigua and Barbuda,11,4.0
Maldives,20,5.0
Macau,27,6.0
Oman,33,7.0
Grenada,38,8.0
Cabo Verde,42,9.0
Kiribati,53,10.0
Bahamas,93,11.0
Seychelles,98,12.0
Aruba,101,13.0
Saint Vincent and Grenadines,124,14.0
Barbados,177,15.0
Jamaica,184,16.0
Saint Lucia,230,17.0
Fiji,277,18.0
Bosnia and Herzegovina,318,19.0
Belize,348,20.0
Cyprus,394,21.0
Montenegro,418,22.0
Mongolia,423,23.0
Bahrain,445,24.0
Qatar,538,25.0
Malta,567,26.0
United Arab Emirates,577,27.0
Kuwait,923,28.0
Iceland,1018,29.0
Azerbaijan,1479,30.0
Luxembourg,1742,31.0
Armenia,1752,32.0
Albania,1799,33.0
Suriname,1986,34.0
Nicaragua,1995,35.0
Guyana,2994,36.0
Georgia,3035,37.0
Panama,3186,38.0
Mauritius,3633,39.0
Trinidad and Tobago,3679,40.0
Paraguay,4171,41.0
Costa Rica,5703,42.0
South Africa,6316,43.0
Estonia,6386,44.0
Turkmenistan,7058,45.0
Guatemala,7456,46.0
Puerto Rico,7533,47.0
Turkey,8925,48.0
Slovenia,9229,49.0
Singapore,9252,50.0
El Salvador,9541,51.0
Israel,10088,52.0
Ireland,10927,53.0
Latvia,10970,54.0
Greece,11126,55.0
New Zealand,11323,56.0
Kyrgyzstan,11353,57.0
Slovakia,11646,58.0
Uruguay,11851,59.0
Denmark,13101,60.0
Norway,14949,61.0
Croatia,15657,62.0
Ecuador,16061,63.0
Philippines,16794,64.0
Portugal,19759,65.0
Serbia,20768,66.0
Switzerland,22284,67.0
Lithuania,24880,68.0
Finland,27917,69.0
Uzbekistan,29394,70.0
Bulgaria,29626,71.0
Sweden,31468,72.0
Chile,32804,73.0
Cuba,34965,74.0
Czech Republic,36181,75.0
Austria,40137,76.0
Netherlands,41332,77.0
Colombia,42423,78.0
Sri Lanka,43068,79.0
Belarus,47868,80.0
Belgium,55468,81.0
Romania,56388,82.0
Australia,60726,83.0
Hungary,61831,84.0
Argentina,66678,85.0
Spain,82274,86.0
Canada,82875,87.0
Kazakhstan,85850,88.0
Mexico,86594,89.0
Italy,98994,90.0
Thailand,99347,91.0
Poland,103503,92.0
United Kingdom,116348,93.0
Brazil,174197,94.0
Republic of Korea,186934,95.0
Germany,215158,96.0
Ukraine,238061,97.0
France,240432,98.0
Japan,635785,99.0
United States,759837,100.0
Russian Federation,815965,101.0
